,시도명,시군구명,동리명,년,월,구분,count,mean,거래날짜,타입
248,경기도,안산시 단원구,원곡동,2022,10,전세,17.0,27185.29411764706,2022-10-01,apt
249,경기도,안산시 단원구,초지동,2022,10,월세,29.0,4219.896551724138,2022-10-01,apt
250,경기도,안산시 단원구,초지동,2022,10,전세,75.0,24355.6,2022-10-01,apt
251,경기도,안산시 상록구,건건동,2022,10,전세,14.0,22417.85714285714,2022-10-01,apt
252,경기도,안산시 상록구,본오동,2022,10,월세,10.0,6350.0,2022-10-01,apt
253,경기도,안산시 상록구,본오동,2022,10,전세,44.0,19470.795454545456,2022-10-01,apt
254,경기도,안산시 상록구,사동,2022,10,월세,34.0,8042.941176470588,2022-10-01,apt
255,경기도,안산시 상록구,사동,2022,10,전세,96.0,29951.614583333332,2022-10-01,apt
256,경기도,안산시 상록구,사사동,2022,10,월세,3.0,1333.3333333333333,2022-10-01,apt
257,경기도,안산시 상록구,사사동,2022,10,전세,3.0,18666.666666666668,2022-10-01,apt
258,경기도,안산시 상록구,성포동,2022,10,월세,16.0,4031.25,2022-10-01,apt
259,경기도,안산시 상록구,성포동,2022,10,전세,45.0,24872.222222222223,2022-10-01,apt
260,경기도,안산시 상록구,수암동,2022,10,월세,1.0,12000.0,2022-10-01,apt
261,경기도,안산시 상록구,월피동,2022,10,월세,14.0,4071.4285714285716,2022-10-01,apt
262,경기도,안산시 상록구,월피동,2022,10,전세,17.0,17005.882352941175,2022-10-01,apt
263,경기도,안산시 상록구,이동,2022,10,전세,1.0,30000.0,2022-10-01,apt
264,경기도,안산시 상록구,장상동,2022,10,전세,1.0,14000.0,2022-10-01,apt
265,경기도,안양시 동안구,관양동,2022,10,월세,38.0,10918.71052631579,2022-10-01,apt
266,경기도,안양시 동안구,관양동,2022,10,전세,80.0,34346.3375,2022-10-01,apt
267,경기도,안양시 동안구,비산동,2022,10,월세,91.0,8467.21978021978,2022-10-01,apt
268,경기도,안양시 동안구,비산동,2022,10,전세,124.0,34911.403225806454,2022-10-01,apt
269,경기도,안양시 동안구,평촌동,2022,10,월세,39.0,22405.128205128207,2022-10-01,apt
270,경기도,안양시 동안구,평촌동,2022,10,전세,97.0,45904.77319587629,2022-10-01,apt
271,경기도,안양시 동안구,호계동,2022,10,월세,41.0,17046.341463414636,2022-10-01,apt
272,경기도,안양시 동안구,호계동,2022,10,전세,114.0,36755.92105263158,2022-10-01,apt
273,경기도,안양시 만안구,박달동,2022,10,월세,14.0,8596.42857142857,2022-10-01,apt
274,경기도,안양시 만안구,박달동,2022,10,전세,32.0,28792.09375,2022-10-01,apt
275,경기도,안양시 만안구,석수동,2022,10,월세,16.0,16625.0,2022-10-01,apt
276,경기도,안양시 만안구,석수동,2022,10,전세,43.0,35768.48837209302,2022-10-01,apt
277,경기도,안양시 만안구,안양동,2022,10,월세,40.0,13875.0,2022-10-01,apt
278,경기도,안양시 만안구,안양동,2022,10,전세,85.0,34620.58823529412,2022-10-01,apt
279,경기도,의정부시,가능동,2022,10,월세,6.0,8000.0,2022-10-01,apt
280,경기도,의정부시,가능동,2022,10,전세,15.0,25340.0,2022-10-01,apt
281,경기도,의정부시,고산동,2022,10,월세,103.0,7515.1067961165045,2022-10-01,apt
282,경기도,의정부시,고산동,2022,10,전세,11.0,26686.363636363636,2022-10-01,apt
283,경기도,의정부시,금오동,2022,10,월세,12.0,6345.75,2022-10-01,apt
284,경기도,의정부시,금오동,2022,10,전세,20.0,23240.0,2022-10-01,apt
285,경기도,의정부시,낙양동,2022,10,월세,141.0,10124.702127659575,2022-10-01,apt
286,경기도,의정부시,낙양동,2022,10,전세,19.0,28594.736842105263,2022-10-01,apt
287,경기도,의정부시,녹양동,2022,10,월세,53.0,3000.8490566037735,2022-10-01,apt
288,경기도,의정부시,녹양동,2022,10,전세,15.0,23710.0,2022-10-01,apt
289,경기도,의정부시,민락동,2022,10,월세,22.0,5819.818181818182,2022-10-01,apt
290,경기도,의정부시,민락동,2022,10,전세,61.0,22892.213114754097,2022-10-01,apt
291,경기도,의정부시,산곡동,2022,10,월세,90.0,6051.222222222223,2022-10-01,apt
292,경기도,의정부시,산곡동,2022,10,전세,4.0,26375.0,2022-10-01,apt
