년,월,구분,인구수,행정동코드,행정동,행정동_시도명,행정동_시군구명,행정동_읍면동명,행정동시군구코드,행정동읍면동코드,행정동_주소
2022,10,총인구수,12686,1117069000,서빙고동,서울특별시,용산구,서빙고동,11170,69000,서울특별시 용산구 서빙고동
2022,10,남자인구수,6093,1117069000,서빙고동,서울특별시,용산구,서빙고동,11170,69000,서울특별시 용산구 서빙고동
2022,10,여자인구수,6593,1117069000,서빙고동,서울특별시,용산구,서빙고동,11170,69000,서울특별시 용산구 서빙고동
2022,10,총인구수,12833,1117070000,보광동,서울특별시,용산구,보광동,11170,70000,서울특별시 용산구 보광동
2022,10,남자인구수,6400,1117070000,보광동,서울특별시,용산구,보광동,11170,70000,서울특별시 용산구 보광동
2022,10,여자인구수,6433,1117070000,보광동,서울특별시,용산구,보광동,11170,70000,서울특별시 용산구 보광동
2022,10,총인구수,16301,1120052000,왕십리제2동,서울특별시,성동구,왕십리제2동,11200,52000,서울특별시 성동구 왕십리제2동
2022,10,남자인구수,7859,1120052000,왕십리제2동,서울특별시,성동구,왕십리제2동,11200,52000,서울특별시 성동구 왕십리제2동
2022,10,여자인구수,8442,1120052000,왕십리제2동,서울특별시,성동구,왕십리제2동,11200,52000,서울특별시 성동구 왕십리제2동
2022,10,총인구수,26493,1120053500,왕십리도선동,서울특별시,성동구,왕십리도선동,11200,53500,서울특별시 성동구 왕십리도선동
2022,10,남자인구수,12479,1120053500,왕십리도선동,서울특별시,성동구,왕십리도선동,11200,53500,서울특별시 성동구 왕십리도선동
2022,10,여자인구수,14014,1120053500,왕십리도선동,서울특별시,성동구,왕십리도선동,11200,53500,서울특별시 성동구 왕십리도선동
2022,10,총인구수,22087,1120054000,마장동,서울특별시,성동구,마장동,11200,54000,서울특별시 성동구 마장동
2022,10,남자인구수,10903,1120054000,마장동,서울특별시,성동구,마장동,11200,54000,서울특별시 성동구 마장동
2022,10,여자인구수,11184,1120054000,마장동,서울특별시,성동구,마장동,11200,54000,서울특별시 성동구 마장동
2022,10,총인구수,12084,1120055000,사근동,서울특별시,성동구,사근동,11200,55000,서울특별시 성동구 사근동
